Country Code ISO3,Country,2021 SDG Index Score,2021 SDG Index Rank,Percentage missing values,Spillover Score (0-100),Regional Score (0-100),Regions used for the SDR
AFG,Afghanistan,53.9,137,9.3,99.3,71.4,E. Europe & C. Asia
AGO,Angola,50.3,154,0,97,51.9,Africa
ALB,Albania,71,64,3.3,94.3,71.4,E. Europe & C. Asia
AND,Andorra,,,51.2,,71.4,E. Europe & C. Asia
ARE,United Arab Emirates,70.2,71,11,38.8,67.1,MENA
ARG,Argentina,72.8,52,1.1,94.5,68.6,LAC
ARM,Armenia,71.8,58,3.5,96.7,71.4,E. Europe & C. Asia
ATG,Antigua and Barbuda,,,30.8,,68.6,LAC
AUS,Australia,75.6,35,1.1,63.9,77.2,OECD
AUT,Austria,82.1,6,3.5,59.5,77.2,OECD
AZE,Azerbaijan,72.4,55,7,97.6,71.4,E. Europe & C. Asia
BDI,Burundi,51.8,147,7,99.8,51.9,Africa
BEL,Belgium,82.2,5,4.4,62,77.2,OECD
BEN,Benin,49.9,155,4.4,98.8,51.9,Africa
BFA,Burkina Faso,53.5,139,1.2,99.4,51.9,Africa
BGD,Bangladesh,63.5,109,4.4,99.3,65.7,East & South Asia
BGR,Bulgaria,73.8,45,3.3,86.9,71.4,E. Europe & C. Asia
BHR,Bahrain,66.1,100,19.8,83.9,67.1,MENA
BHS,"Bahamas, The",,,24.2,,68.6,LAC
BIH,Bosnia and Herzegovina,73.7,47,8.8,95.8,71.4,E. Europe & C. Asia
BLR,Belarus,78.8,24,1.2,96.7,71.4,E. Europe & C. Asia
BLZ,Belize,64.4,104,12.1,93.5,68.6,LAC
BOL,Bolivia,67.6,90,2.3,97.9,68.6,LAC
BRA,Brazil,71.3,61,0,97.6,68.6,LAC
BRB,Barbados,68.4,83,17.6,78.8,68.6,LAC
BRN,Brunei Darussalam,68.3,84,20.9,70.9,65.7,East & South Asia
BTN,Bhutan,70,75,15.1,93.9,65.7,East & South Asia
BWA,Botswana,61.9,115,2.3,80.6,51.9,Africa
CAF,Central African Republic,38.3,165,8.1,99.6,51.9,Africa
CAN,Canada,79.2,21,2.2,64.1,77.2,OECD
CHE,Switzerland,80.1,16,3.5,41.7,77.2,OECD
CHL,Chile,77.1,30,1.1,93.2,77.2,OECD
CHN,China,72.1,57,5.5,94.6,65.7,East & South Asia
CIV,Cote d'Ivoire,57.6,131,0,99.5,51.9,Africa
CMR,Cameroon,55.3,134,3.3,99.6,51.9,Africa
COD,"Congo, Dem. Rep.",49.3,158,7.7,99.4,51.9,Africa
COG,"Congo, Rep.",52.9,144,7.7,97.7,51.9,Africa
COL,Colombia,70.6,68,0,95.2,77.2,OECD
COM,Comoros,,,22,,51.9,Africa
CPV,Cabo Verde,68.1,86,15.4,95.4,51.9,Africa
CRI,Costa Rica,73.6,50,1.1,83.3,68.6,LAC
CUB,Cuba,73.7,49,17.6,97.1,68.6,LAC
CYP,Cyprus,74.9,40,6.6,63.8,71.4,E. Europe & C. Asia
CZE,Czech Republic,81.4,12,1.2,67.8,77.2,OECD
DEU,Germany,82.5,4,2.2,60.4,77.2,OECD
DJI,Djibouti,53.8,138,14.3,98.2,51.9,Africa
DMA,Dominica,,,50.5,,68.6,LAC
DNK,Denmark,84.9,3,2.2,60.5,77.2,OECD
DOM,Dominican Republic,70.8,67,1.1,95.6,68.6,LAC
DZA,Algeria,70.9,66,2.2,97.5,67.1,MENA
ECU,Ecuador,72.5,53,1.1,97.1,68.6,LAC
EGY,"Egypt, Arab Rep.",68.6,82,0,98.7,67.1,MENA
ERI,Eritrea,,,24.2,,51.9,Africa
ESP,Spain,79.5,20,1.1,64.8,77.2,OECD
EST,Estonia,81.6,10,1.1,72.1,77.2,OECD
ETH,Ethiopia,54.5,136,0,99.7,51.9,Africa
FIN,Finland,85.9,1,2.2,69.8,77.2,OECD
FJI,Fiji,71.2,62,14.3,93.2,50.1,Oceania
FRA,France,81.7,8,1.1,55.9,77.2,OECD
FSM,"Micronesia, Fed. Sts.",,,45.1,,50.1,Oceania
GAB,Gabon,62.8,111,7.7,93,51.9,Africa
GBR,United Kingdom,80,17,3.3,54.1,77.2,OECD
GEO,Georgia,72.2,56,3.3,90.7,71.4,E. Europe & C. Asia
GHA,Ghana,62.5,114,0,97.4,51.9,Africa
GIN,Guinea,51,153,5.5,99.5,51.9,Africa
GMB,"Gambia, The",59.3,123,4.4,97.9,51.9,Africa
GNB,Guinea-Bissau,,,23.1,,51.9,Africa
GNQ,Equatorial Guinea,,,34.1,,51.9,Africa
GRC,Greece,75.4,37,2.2,72.3,77.2,OECD
GRD,Grenada,,,40.7,,68.6,LAC
GTM,Guatemala,59.9,121,0,87.3,68.6,LAC
GUY,Guyana,57.9,128,11,30,68.6,LAC
HND,Honduras,62.8,112,1.1,94.8,68.6,LAC
HRV,Croatia,80.4,14,3.3,84.8,71.4,E. Europe & C. Asia
HTI,Haiti,51.4,150,7.7,99.6,68.6,LAC
HUN,Hungary,78.8,25,1.2,80,77.2,OECD
IDN,Indonesia,66.3,97,2.2,96.9,65.7,East & South Asia
IND,India,60.1,120,1.1,98.9,65.7,East & South Asia
IRL,Ireland,81,13,4.4,60,77.2,OECD
IRN,"Iran, Islamic Rep.",70,74,1.1,95.9,67.1,MENA
IRQ,Iraq,63.8,105,9.9,98.3,67.1,MENA
ISL,Iceland,78.2,29,8.8,60.3,77.2,OECD
ISR,Israel,75,38,6.6,69.6,77.2,OECD
ITA,Italy,78.8,,0,71.2,77.2,OECD
JAM,Jamaica,69,81,1.1,93.6,68.6,LAC
