Country Code ISO3,Country,Goal,Dash Value,Goal Id,Trend Value,Goal Score,Regional Goal Score
AFG,Afghanistan,1,grey,Goal1,,,91.94543182
AFG,Afghanistan,2,red,Goal2,Right,50.131,61.73419591
AFG,Afghanistan,3,red,Goal3,Right,37.09835714,77.28263593
AFG,Afghanistan,4,red,Goal4,Up Right,57.85121667,91.68278123
AFG,Afghanistan,5,red,Goal5,Right,23.1625,60.84888406
AFG,Afghanistan,6,red,Goal6,Up Right,46.3138,71.82457391
AFG,Afghanistan,7,orange,Goal7,Up Right,64.8225,87.6735
AFG,Afghanistan,8,red,Goal8,Up Right,37.75316667,69.7746442
AFG,Afghanistan,9,red,Goal9,Right,6.546833333,40.05858986
AFG,Afghanistan,10,grey,Goal10,,,72.3627619
AFG,Afghanistan,11,red,Goal11,Right,31.76125,76.44322826
AFG,Afghanistan,12,yellow,Goal12,,90.81683333,77.62934493
AFG,Afghanistan,13,green,Goal13,Up,99.06466667,83.04191304
AFG,Afghanistan,14,grey,Goal14,,,58.86582121
AFG,Afghanistan,15,red,Goal15,Down,52.984,69.49956449
AFG,Afghanistan,16,red,Goal16,Right,52.02666667,72.40393841
AFG,Afghanistan,17,red,Goal17,Up Right,43.3595,63.38646014
AGO,Angola,1,red,Goal1,Down,12.913,30.34416279
AGO,Angola,2,red,Goal2,Right,55.424125,51.97774729
AGO,Angola,3,red,Goal3,Right,37.44357143,44.14016211
AGO,Angola,4,red,Goal4,,40.77566667,53.62485676
AGO,Angola,5,red,Goal5,Right,51.278,53.01121023
AGO,Angola,6,red,Goal6,Up Right,53.961,52.57983636
AGO,Angola,7,red,Goal7,Up Right,52.43266667,37.27658333
AGO,Angola,8,red,Goal8,Up Right,52.4855,59.98118523
AGO,Angola,9,red,Goal9,Right,7.517,18.23981667
AGO,Angola,10,red,Goal10,,25.2465,37.33420455
AGO,Angola,11,red,Goal11,Right,46.71175,52.72891477
AGO,Angola,12,green,Goal12,,92.22016667,88.02470152
AGO,Angola,13,yellow,Goal13,Up,96.52033333,96.26652652
AGO,Angola,14,orange,Goal14,Right,66.932,68.01049167
AGO,Angola,15,red,Goal15,Right,64.7534,66.83500341
AGO,Angola,16,red,Goal16,Up Right,50.6536,56.05098259
AGO,Angola,17,orange,Goal17,Up Right,47.766,51.65295455
ALB,Albania,1,yellow,Goal1,Up Right,91.6375,91.94543182
ALB,Albania,2,orange,Goal2,Right,60.00485714,61.73419591
ALB,Albania,3,orange,Goal3,Up Right,81.09271429,77.28263593
ALB,Albania,4,green,Goal4,Up,95.155,91.68278123
ALB,Albania,5,orange,Goal5,Right,53.57425,60.84888406
ALB,Albania,6,orange,Goal6,Up Right,75.9076,71.82457391
ALB,Albania,7,yellow,Goal7,Up,89.44966667,87.6735
ALB,Albania,8,red,Goal8,Up Right,61.09533333,69.7746442
ALB,Albania,9,orange,Goal9,Up Right,28.5805,40.05858986
ALB,Albania,10,orange,Goal10,,68.4005,72.3627619
ALB,Albania,11,orange,Goal11,Right,72.83833333,76.44322826
ALB,Albania,12,orange,Goal12,,79.61733333,77.62934493
ALB,Albania,13,green,Goal13,Up,92.126,83.04191304
ALB,Albania,14,red,Goal14,Right,43.8784,58.86582121
ALB,Albania,15,orange,Goal15,Right,80.5868,69.49956449
ALB,Albania,16,orange,Goal16,Right,68.0918,72.40393841
ALB,Albania,17,orange,Goal17,Up Right,65.335,63.38646014
AND,Andorra,1,grey,Goal1,,,
AND,Andorra,2,yellow,Goal2,Up Right,,
AND,Andorra,3,grey,Goal3,,,
AND,Andorra,4,grey,Goal4,,,
AND,Andorra,5,green,Goal5,Up,,
AND,Andorra,6,yellow,Goal6,Up Right,,
AND,Andorra,7,green,Goal7,Up,,
AND,Andorra,8,grey,Goal8,,,
AND,Andorra,9,orange,Goal9,Up Right,,
AND,Andorra,10,grey,Goal10,,,
AND,Andorra,11,yellow,Goal11,Up,,
AND,Andorra,12,orange,Goal12,,,
AND,Andorra,13,red,Goal13,Right,,
AND,Andorra,14,grey,Goal14,,,
AND,Andorra,15,orange,Goal15,Up Right,,
AND,Andorra,16,yellow,Goal16,Up,,
AND,Andorra,17,grey,Goal17,,,
ARE,United Arab Emirates,1,green,Goal1,Up,99.5695,92.3215
ARE,United Arab Emirates,2,red,Goal2,Right,67.268,59.18466592
ARE,United Arab Emirates,3,yellow,Goal3,Up,86.38807692,75.86853159
ARE,United Arab Emirates,4,yellow,Goal4,Up,92.05933333,84.10655278
ARE,United Arab Emirates,5,orange,Goal5,Up Right,71.19925,44.58975
ARE,United Arab Emirates,6,red,Goal6,Up Right,56.1116,59.0447
ARE,United Arab Emirates,7,yellow,Goal7,Up Right,90.99066667,88.10620833
ARE,United Arab Emirates,8,red,Goal8,Up Right,60.1306,62.06568854
ARE,United Arab Emirates,9,yellow,Goal9,Up,74.10516667,47.49391042
ARE,United Arab Emirates,10,yellow,Goal10,,91.375,66.17809091
ARE,United Arab Emirates,11,yellow,Goal11,Up Right,75.9755,58.92827083
ARE,United Arab Emirates,12,red,Goal12,,51.1275,76.84214583
ARE,United Arab Emirates,13,red,Goal13,Up Right,29.15,71.47551042
ARE,United Arab Emirates,14,red,Goal14,Up Right,76.6002,62.77661458
ARE,United Arab Emirates,15,grey,Goal15,,58.625,57.3562125
ARE,United Arab Emirates,16,orange,Goal16,Up Right,79.21244444,69.0938314
ARE,United Arab Emirates,17,orange,Goal17,Up,33.001,56.23125521
ARG,Argentina,1,yellow,Goal1,Up Right,95.99,78.88736364
ARG,Argentina,2,red,Goal2,Up Right,67.543125,57.59063199
ARG,Argentina,3,orange,Goal3,Up Right,80.6,74.52407979
ARG,Argentina,4,yellow,Goal4,Up,95.26966667,84.88684783
ARG,Argentina,5,green,Goal5,Up,80.9855,69.22095652
ARG,Argentina,6,orange,Goal6,Up Right,79.0636,73.03634783
ARG,Argentina,7,yellow,Goal7,Up,92.50666667,84.79700725
ARG,Argentina,8,red,Goal8,Right,70.2755,68.38165797
ARG,Argentina,9,orange,Goal9,Right,45.665,31.41842826
ARG,Argentina,10,red,Goal10,,38.402,27.90167647
ARG,Argentina,11,orange,Goal11,Up Right,81.0045,77.0875942
ARG,Argentina,12,orange,Goal12,,76.39166667,76.72728261
ARG,Argentina,13,orange,Goal13,Up Right,86.24866667,85.37328261
ARG,Argentina,14,red,Goal14,Right,57.281,62.78111429
ARG,Argentina,15,red,Goal15,Right,60.6662,60.90421739
ARG,Argentina,16,red,Goal16,Up Right,65.16766667,60.88893442
ARG,Argentina,17,orange,Goal17,Up Right,64.51275,64.2951558
ARM,Armenia,1,yellow,Goal1,Up,93.438,91.94543182
ARM,Armenia,2,orange,Goal2,Right,60.72814286,61.73419591
ARM,Armenia,3,orange,Goal3,Up Right,77.90721429,77.28263593
ARM,Armenia,4,yellow,Goal4,Right,90.329,91.68278123
ARM,Armenia,5,orange,Goal5,Up Right,57.48825,60.84888406
ARM,Armenia,6,orange,Goal6,Up,68.9572,71.82457391
ARM,Armenia,7,green,Goal7,Up,94.82133333,87.6735
ARM,Armenia,8,red,Goal8,Up Right,66.2794,69.7746442
ARM,Armenia,9,orange,Goal9,Up Right,34.40266667,40.05858986
ARM,Armenia,10,red,Goal10,,55.069,72.3627619
ARM,Armenia,11,orange,Goal11,Up Right,76.44475,76.44322826
ARM,Armenia,12,yellow,Goal12,,88.68466667,77.62934493
ARM,Armenia,13,yellow,Goal13,Right,93.07333333,83.04191304
ARM,Armenia,14,grey,Goal14,,,58.86582121
ARM,Armenia,15,red,Goal15,Right,61.792,69.49956449
ARM,Armenia,16,yellow,Goal16,Up Right,80.02477778,72.40393841
ARM,Armenia,17,orange,Goal17,Right,62.19075,63.38646014
ATG,Antigua and Barbuda,1,grey,Goal1,,,
ATG,Antigua and Barbuda,2,red,Goal2,Right,,
ATG,Antigua and Barbuda,3,orange,Goal3,Up Right,,
ATG,Antigua and Barbuda,4,green,Goal4,Up,,
ATG,Antigua and Barbuda,5,orange,Goal5,Up Right,,
ATG,Antigua and Barbuda,6,orange,Goal6,Right,,
ATG,Antigua and Barbuda,7,green,Goal7,Up,,
ATG,Antigua and Barbuda,8,yellow,Goal8,Up,,
ATG,Antigua and Barbuda,9,orange,Goal9,Up Right,,
ATG,Antigua and Barbuda,10,grey,Goal10,,,
ATG,Antigua and Barbuda,11,grey,Goal11,,,
ATG,Antigua and Barbuda,12,red,Goal12,,,
ATG,Antigua and Barbuda,13,red,Goal13,Right,,
ATG,Antigua and Barbuda,14,red,Goal14,Right,,
ATG,Antigua and Barbuda,15,orange,Goal15,Right,,
ATG,Antigua and Barbuda,16,grey,Goal16,,,
ATG,Antigua and Barbuda,17,grey,Goal17,,,
AUS,Australia,1,yellow,Goal1,Up Right,99.61,98.69063514
AUS,Australia,2,red,Goal2,Right,58.740125,66.75572056
AUS,Australia,3,green,Goal3,Up,95.58357143,90.90151376
AUS,Australia,4,yellow,Goal4,Up Right,99.405375,98.30024837
AUS,Australia,5,orange,Goal5,Up Right,81.00025,77.46045721
AUS,Australia,6,yellow,Goal6,Up,94.9532,85.63096757
AUS,Australia,7,red,Goal7,Up Right,91.339,92.46802703
AUS,Australia,8,yellow,Goal8,Up Right,81.036,80.68087297
AUS,Australia,9,yellow,Goal9,Up Right,89.48183333,81.25941441
AUS,Australia,10,orange,Goal10,Down,74.2255,74.4752027
AUS,Australia,11,yellow,Goal11,Up Right,89.0435,88.91136712
AUS,Australia,12,red,Goal12,,44.09666667,58.05527928
AUS,Australia,13,red,Goal13,Right,10.02433333,64.11272072
AUS,Australia,14,red,Goal14,Right,58.99766667,63.36054624
AUS,Australia,15,red,Goal15,Down,63.7674,74.10277568
AUS,Australia,16,yellow,Goal16,Up Right,85.1182,82.31681502
