Indicator,iso3,TimePeriod,Value
1.1.1,AFG,2021,35.4
1.2.1,AFG,2016,54.5
1.2.2,AFG,2020,49.4
1.3.1,AFG,2020,1.7
1.4.1,AFG,2020,100
1.4.2,AFG,2015,79.4
1.5.1,AFG,2019,0
1.5.2,AFG,2019,567713553.43836
1.5.3,AFG,2019,0.725
1.5.4,AFG,2019,383
1.a.1,AFG,2019,2.14
1.a.2,AFG,2021,10.88011
10.4.1,AFG,2019,40.8
10.6.1,AFG,2020,0.60976
10.7.2,AFG,2021,2
10.7.3,AFG,2022,
10.7.4,AFG,2021,6149.22031
10.a.1,AFG,2020,57.9693
10.b.1,AFG,2019,4156
10.c.1,AFG,2021,8.39
11.1.1,AFG,2018,70.7
11.5.1,AFG,2019,0
11.5.2,AFG,2019,567713553.43836
11.5.3,AFG,2019,106
11.6.2,AFG,2016,63.61105
11.a.1,AFG,2020,1
11.b.1,AFG,2019,0.725
11.b.2,AFG,2019,383
12.2.2,AFG,2019,398006.8345
12.3.1,AFG,2019,81.7299
12.4.1,AFG,2020,100
12.8.1,AFG,2020,
12.a.1,AFG,2020,0.784
12.c.1,AFG,2020,0.29949
13.1.1,AFG,2019,0
13.1.2,AFG,2019,0.725
13.1.3,AFG,2019,383
13.2.2,AFG,2013,43.377
13.3.1,AFG,2020,
14.4.1,AFG,2018,
14.5.1,AFG,2021,0
14.6.1,AFG,2022,
14.7.1,AFG,2019,
14.b.1,AFG,2022,
15.1.1,AFG,2020,65223
15.1.2,AFG,2021,60.85211
15.2.1,AFG,2021,0
15.3.1,AFG,2015,8
15.4.1,AFG,2021,45.82733
15.4.2,AFG,2018,74.4
15.5.1,AFG,2022,0.83587
15.6.1,AFG,2022,454
15.8.1,AFG,2020,1
15.9.1,AFG,2021,1
15.a.1,AFG,2018,26.33405
15.b.1,AFG,2018,26.33405
16.1.1,AFG,2018,12.15626
16.10.2,AFG,2022,2014
16.2.1,AFG,2011,74.4
16.2.2,AFG,2008,0
16.2.3,AFG,2015,1.1
16.3.2,AFG,2018,27.7
16.5.1,AFG,2012,50.1
16.5.2,AFG,2014,46.84
16.6.1,AFG,2019,99.5084
16.7.1,AFG,2022,0.55624
16.8.1,AFG,2020,0.60976
16.9.1,AFG,2015,50.7
16.a.1,AFG,2020,1
17.1.1,AFG,2017,45.24778
17.1.2,AFG,2017,20.58875
17.10.1,AFG,2020,6.54642
17.12.1,AFG,2020,1.46483
17.13.1,AFG,2020,12.06375
17.15.1,AFG,2018,46.47676
17.16.1,AFG,2016,1
17.17.1,AFG,2020,259.4700
17.18.2,AFG,2020,
17.18.3,AFG,2020,
17.19.1,AFG,2018,11502321.93
17.3.1,AFG,2020,12.97049
17.3.2,AFG,2020,3.92181
17.4.1,AFG,2020,2.24408
17.6.1,AFG,2020,0.00092
17.7.1,AFG,2019,7455136
