Country Code ISO3,Indicator,Normalized Value,Dash Value,Trend Value,Value
AFG,sdg1_wpc,,,,
AFG,sdg1_320pov,,,,
AFG,sdg1_oecdpov,29.314,,,
AFG,sdg2_undernsh,23.904,red,Down,29.9
AFG,sdg2_stunting,68.712,red,Right,38.2
AFG,sdg2_wasting,91.641,yellow,Right,5.1
AFG,sdg2_obesity,65.116,green,Up,5.5
AFG,sdg2_trophic,28.897,green,Up,2.19
AFG,sdg2_crlyld,43.333,yellow,Right,2.165
AFG,sdg2_snmi,,orange,Down,0.68
AFG,sdg2_yieldgap,21.712,,Up,
AFG,sdg2_pestexp,9.845,,Up Right,
AFG,sdg3_matmort,54.745,red,Up Right,638
AFG,sdg3_neonat,66.31,red,Right,35.9
AFG,sdg3_u5mort,99.273,red,Up,60.3
AFG,sdg3_tb,5.53,red,Right,189
AFG,sdg3_hiv,42.787,green,Down,0.04
AFG,sdg3_ncds,58.492,red,Right,29.8
AFG,sdg3_pollmort,31.759,red,Up,211
AFG,sdg3_traffic,54.31,orange,,15.86
AFG,sdg3_lifee,35.631,red,Right,63.21
AFG,sdg3_fertility,38.983,red,Right,65.141
AFG,sdg3_births,0,red,Down,50.5
AFG,sdg3_vac,0,red,,64
AFG,sdg3_uhc,,red,,37
AFG,sdg3_swb,45.544,red,,2.4
AFG,sdg3_region,36.9,,Up Right,
AFG,sdg3_incomeg,29.939,,,
AFG,sdg3_smoke,0,,,
AFG,sdg4_primary,9.809,,,
AFG,sdg4_second,52.902,red,,55.346
AFG,sdg4_literacy,45.108,red,,65.421
AFG,sdg4_earlyedu,37.34,,,
AFG,sdg4_tertiary,51.657,,Right,
AFG,sdg4_pisa,0,,Right,
AFG,sdg4_socioec,97.464,,Right,
AFG,sdg4_science,98.584,,Down,
AFG,sdg4_resil,31.061,,,
AFG,sdg5_familypl,,red,Up,42.2
AFG,sdg5_edat,42.863,red,Right,31.667
AFG,sdg5_lfpr,0,red,Up,29.2
AFG,sdg5_parl,7.492,orange,,27.016
AFG,sdg5_paygap,55.787,,,
AFG,sdg5_unpaid,20.727,,Up,
AFG,sdg6_water,99.65,red,Up Right,67.065
AFG,sdg6_sanita,11.554,red,,43.418
AFG,sdg6_freshwat,18.068,orange,,54.8
AFG,sdg6_wastewat,9.409,red,Right,0
AFG,sdg6_scarcew,0,green,Down,2.536
AFG,sdg6_safewat,0.25,,Up,
AFG,sdg6_safesan,0,,Up,
AFG,sdg7_elecac,,green,,98.713
AFG,sdg7_cleanfuel,,red,,32.44
AFG,sdg7_co2twh,21.444,,Right,
AFG,sdg7_ren,39.715,,Up Right,
AFG,sdg8_adjgrowth,41.535,red,Down,-6.256
AFG,sdg8_slavery,24.351,red,Right,22.192
AFG,sdg8_accounts,56.583,red,,14.893
AFG,sdg8_unemp,98.155,red,,11.73
AFG,sdg8_rights,99.034,red,,0.414
AFG,sdg8_impacc,98.717,green,,0.021
AFG,sdg8_empop,92.765,,,
AFG,sdg8_yneet,99.647,,,
AFG,sdg9_intuse,98.59,red,,13.5
AFG,sdg9_mobuse,98.688,red,,19.215
AFG,sdg9_lpi,99.916,red,Down,1.807
AFG,sdg9_qs,,orange,Up Right,0
AFG,sdg9_articles,,red,Right,0.003
AFG,sdg9_rdex,,red,Down,0
AFG,sdg9_rdres,,,,
AFG,sdg9_patents,,,Up,
AFG,sdg9_netacc,100,,Up,
AFG,sdg9_womensci,5.74,,,
AFG,sdg10_adjgini,0,,,
AFG,sdg10_palma,59.25,,,
AFG,sdg10_elder,100,,,
AFG,sdg11_slums,99.93,red,,70.7
AFG,sdg11_pm25,83.141,red,Right,54.95
AFG,sdg11_pipedwat,64.265,red,Right,45.101
AFG,sdg11_transport,0,red,Down,36
AFG,sdg11_rentover,,,Up,
AFG,sdg12_msw,35.169,orange,,1.663
AFG,sdg12_ewaste,7.937,green,Down,0.63
AFG,sdg12_so2prod,57.761,green,,5.07
AFG,sdg12_so2import,100,green,Right,0.385
AFG,sdg12_prodnitro,60.429,green,Right,9.09
AFG,sdg12_reacnitro,59.538,green,Up,0.159
AFG,sdg12_mswrecycl,30.3,,,
AFG,sdg13_co2gcp,,green,Up Right,0.282
AFG,sdg13_co2import,10.13,green,,0.042
AFG,sdg13_co2export,100,green,,36.865
AFG,sdg13_ecr,33.008,,Up,
AFG,sdg14_cpma,,,,
AFG,sdg14_cleanwat,,,,
AFG,sdg14_fishstocks,,,,
AFG,sdg14_trawl,,,,
AFG,sdg14_discard,,,,
AFG,sdg14_biomar,,green,,0
AFG,sdg15_cpta,,red,,5.74
AFG,sdg15_cpfa,,red,,0
AFG,sdg15_redlist,,orange,,0.837
AFG,sdg15_forchg,,green,,0
AFG,sdg15_biofrwter,,green,,0.007
AFG,sdg16_homicides,,red,,6.656
AFG,sdg16_detain,,yellow,,31.3
AFG,sdg16_safe,,red,,
AFG,sdg16_prs,,,,
AFG,sdg16_u5reg,,red,,42.3
AFG,sdg16_cpi,,red,,19
AFG,sdg16_clabor,,red,,16.6
AFG,sdg16_weaponsexp,,green,,0
AFG,sdg16_rsf,,yellow,,37.7
AFG,sdg16_justice,,red,,0.487
