Country,Population (mid-year estimates),Share of population 65 years of age an over,Share of population under 15 years of age,Share of urban population,Life expectancy at birth,Population growth,Total fertility rate,International migrant stock as percent of total population,Number of refugees and people in refugee-like situations,"Number of asylum seekers, including pending cases",GDP in current prices,GDP per capita,Labour force participation rate,"Share of  agriculture, hunting, forestry and fishing in total gross value added",Share of industry in total gross value added,Share of services in total gross value added,Tourism expenditure,Unemployment rate,GDP real growth rate,Balance of Payments: Capital account,Balance of Payments: Current account,Balance of Payments: Financial account,Balance of trade,Exports FOB,Imports CIF,Net energy imports,Share of exports to top export partner,Share of imports to top import partner,Surface area,Land area,Arable land as percent of total land area,Permanent crops as percent of total land area,Forest cover as percent of total land area
AFG,38.04 Millions (2019),4.17 Percent (2019),42.47 Percent (2019),25.75 Percent (2019),62.32 Years (2015),3.3 Percent (2015),5.45 Children per woman (2015),0.38 Percent (2017),"78,384 (2018)",365 (2018),"21,992.76 Millions of US dollars (2017)",618.99 US dollars (2017),66 Percent (2019),23.89 Percent (2017),22.04 Percent (2017),54.06 Percent (2017),19 Millions of US dollars (2017),8.77 Percent (2019),2.5 Percent (2017),"1,733.45 Millions of US dollars (2017)","-4,227.13 Millions of US dollars (2017)",420.12 Millions of US dollars (2017),"-7,523.2 Millions of US dollars (2018)",821.63 Millions of US dollars (2018),"8,344.83 Millions of US dollars (2018)",73 Petajoules (2016),47.5 Percent (2018),19.36 Percent (2018),652.86 km2 (2017),"65,286 Hectares (2016)",11.84 Percent (2016),0.28 Percent (2016),2.07 Percent (2016)
ALB,2.88 Millions (2019),20.48 Percent (2019),17.4 Percent (2019),61.23 Percent (2019),77.49 Years (2015),-0.39 Percent (2015),1.71 Children per woman (2015),1.79 Percent (2017),121 (2018),149 (2018),"13,039.36 Millions of US dollars (2017)","4,450.01 US dollars (2017)",55.9 Percent (2019),21.7 Percent (2017),24.2 Percent (2017),54.09 Percent (2017),"2,049 Millions of US dollars (2017)",15.08 Percent (2019),3.84 Percent (2017),121.89 Millions of US dollars (2018),"-1,008.3 Millions of US dollars (2018)",-918.86 Millions of US dollars (2018),"-3,066.17 Millions of US dollars (2018)","2,875.66 Millions of US dollars (2018)","5,941.83 Millions of US dollars (2018)",16 Petajoules (2016),53.5 Percent (2018),28.63 Percent (2018),28.75 km2 (2017),"2,740 Hectares (2016)",22.64 Percent (2016),3.04 Percent (2016),28.12 Percent (2016)
DZA,43.05 Millions (2019),9.68 Percent (2019),30.55 Percent (2019),73.19 Percent (2019),75.51 Years (2015),1.98 Percent (2015),2.96 Children per woman (2015),0.6 Percent (2017),"177,881 (2018)","7,886 (2018)","167,555.25 Millions of US dollars (2017)","4,055.25 US dollars (2017)",41.2 Percent (2019),12.73 Percent (2017),38.64 Percent (2017),48.62 Percent (2017),172 Millions of US dollars (2017),9.94 Percent (2019),1.4 Percent (2017),0.72 Millions of US dollars (2017),"-22,058.71 Millions of US dollars (2017)","-22,015.16 Millions of US dollars (2017)","-7,866.66 Millions of US dollars (2018)","41,347 Millions of US dollars (2018)","49,213.66 Millions of US dollars (2018)","-4,074 Petajoules (2016)",16 Percent (2018),18.06 Percent (2018),"2,381.74 km2 (2017)","238,174 Hectares (2016)",3.11 Percent (2016),0.43 Percent (2016),0.82 Percent (2016)
ASM,0.06 Millions (2019),8.96 Percent (2016),33.34 Percent (2016),87.15 Percent (2019),,-0.04 Percent (2015),2.6 Children per woman (2013),42.34 Percent (2017),,,,,52.8 Percent (2010),,,,,9.2 Percent (2010),,,,,,,,,,,0.2 km2 (2017),20 Hectares (2016),15 Percent (2016),9.5 Percent (2016),87.5 Percent (2016)
AND,0.08 Millions (2019),19.04 Percent (2016),14.43 Percent (2016),87.98 Percent (2019),,-1.59 Percent (2015),1.15 Children per woman (2012),53.32 Percent (2017),,,"3,013.4 Millions of US dollars (2017)","39,152.81 US dollars (2017)",,0.55 Percent (2017),11.38 Percent (2017),88.06 Percent (2017),,,1.72 Percent (2017),,,,"-1,494.17 Millions of US dollars (2018)",129.3 Millions of US dollars (2018),"1,623.47 Millions of US dollars (2018)",8 Petajoules (2016),28.13 Percent (2018),68.63 Percent (2018),0.47 km2 (2017),47 Hectares (2016),1.66 Percent (2016),,34.04 Percent (2016)
AGO,31.83 Millions (2019),3.62 Percent (2019),46.62 Percent (2019),66.18 Percent (2019),57.74 Years (2015),3.54 Percent (2015),6 Children per woman (2015),2.14 Percent (2017),"37,933 (2018)","30,143 (2018)","126,505.71 Millions of US dollars (2017)","4,247.41 US dollars (2017)",77.6 Percent (2019),8.84 Percent (2017),43.63 Percent (2017),47.53 Percent (2017),884 Millions of US dollars (2017),8.9 Percent (2019),-2.5 Percent (2017),2.93 Millions of US dollars (2018),"7,502.03 Millions of US dollars (2018)","4,720.89 Millions of US dollars (2018)","20,934.51 Millions of US dollars (2018)","38,953.29 Millions of US dollars (2018)","18,018.77 Millions of US dollars (2018)","-3,442 Petajoules (2016)",58.06 Percent (2018),20.74 Percent (2018),"1,246.7 km2 (2017)","124,670 Hectares (2016)",3.93 Percent (2016),0.23 Percent (2016),46.31 Percent (2016)
AIA,0.01 Millions (2019),7.55 Percent (2011),23.3 Percent (2011),100 Percent (2019),78.88 Years (2004),1.19 Percent (2015),2 Children per woman (2006),37.42 Percent (2017),1 (2018),,281.19 Millions of US dollars (2017),"18,860.69 US dollars (2017)",72.3 Percent (2002),2.41 Percent (2017),11 Percent (2017),86.59 Percent (2017),149 Millions of US dollars (2017),7.8 Percent (2002),-7.74 Percent (2017),11.31 Millions of US dollars (2017),-62.25 Millions of US dollars (2017),-6.86 Millions of US dollars (2017),-278.03 Millions of US dollars (2018),4.96 Millions of US dollars (2018),282.99 Millions of US dollars (2018),2 Petajoules (2016),23.65 Percent (2018),61.69 Percent (2018),0.09 km2 (2017),9 Hectares (2016),,,61.11 Percent (2016)
ATG,0.1 Millions (2019),13.62 Percent (2019),21.95 Percent (2019),24.51 Percent (2019),76.14 Years (2015),1.22 Percent (2015),2 Children per woman (2015),28.08 Percent (2017),1 (2018),1 (2018),"1,510.08 Millions of US dollars (2017)","14,803.01 US dollars (2017)",71.7 Percent (2001),1.97 Percent (2017),21.25 Percent (2017),76.78 Percent (2017),774 Millions of US dollars (2017),8.4 Percent (2001),3.03 Percent (2017),39.57 Millions of US dollars (2017),34.45 Millions of US dollars (2017),102.93 Millions of US dollars (2017),-783.01 Millions of US dollars (2018),45.71 Millions of US dollars (2018),828.72 Millions of US dollars (2018),9 Petajoules (2016),22.27 Percent (2018),43.23 Percent (2018),0.44 km2 (2017),44 Hectares (2016),9.09 Percent (2016),2.27 Percent (2016),22.27 Percent (2016)
ARG,44.78 Millions (2019),15.39 Percent (2019),24.6 Percent (2019),91.99 Percent (2019),75.67 Years (2015),1.04 Percent (2015),2.33 Children per woman (2015),4.89 Percent (2017),"3,378 (2018)","5,044 (2018)","637,486.21 Millions of US dollars (2017)","14,399.62 US dollars (2017)",60.4 Percent (2019),6.66 Percent (2017),25.8 Percent (2017),67.55 Percent (2017),"5,514 Millions of US dollars (2017)",7.94 Percent (2019),2.86 Percent (2017),85.72 Millions of US dollars (2018),"-28,002.61 Millions of US dollars (2018)","-28,479.97 Millions of US dollars (2018)",12.82 Millions of US dollars (2018),"66,318.59 Millions of US dollars (2018)","66,305.77 Millions of US dollars (2018)",442 Petajoules (2016),15.94 Percent (2018),26.71 Percent (2018),"2,780.4 km2 (2017)","273,669 Hectares (2016)",14.32 Percent (2016),0.37 Percent (2016),9.8 Percent (2016)
